TIME,DTIME,IN,DIN,OUT,DOUT
1440704171,1,3299025809602,3669,1187919065171,11422
1440704172,1,3299025812397,2795,1187919066956,1785
1440704173,1,3299025838573,26176,1187919121537,54581
1440704174,1,3299047391274,21552701,1187919467515,345978
1440704175,1,3299047476637,85363,1187919471473,3958
1440704176,1,3299047477281,644,1187919473227,1754
1440704177,1,3299047479047,1766,1187919484569,11342
1440704178,1,3299067140913,19661866,1187919718047,233478
1440704179,1,3299067689867,548954,1187919888298,170251
1440704180,1,3299067690579,712,1187919899804,11506
1440704181,1,3299067691840,1261,1187919901921,2117
1440704183,2,3299088317960,20626120,1187920146227,244306
1440704184,1,3299088320281,2321,1187920158445,12218
1440704185,1,3299088334541,14260,1187920193894,35449
1440704186,1,3299088361797,27256,1187920252276,58382
1440704187,1,3299110018240,21656443,1187920516943,264667
1440704188,1,3299110018968,728,1187920519355,2412
1440704189,1,3299110024503,5535,1187920522573,3218
1440704190,1,3299110096516,72013,1187920555133,32560
1440704191,1,3299130693003,20596487,1187920866687,311554
1440704192,1,3299130701503,8500,1187920879831,13144
1440704193,1,3299130704150,2647,1187920892177,12346
1440704194,1,3299130797412,93262,1187920897425,5248
1440704195,1,3299151850092,21052680,1187923671777,2774352
1440704196,1,3299151859985,9893,1187923705255,33478
1440704197,1,3299151885845,25860,1187923756797,51542
1440704198,1,3299152245520,359675,1187923787883,31086
1440704199,1,3299173279423,21033903,1187924044966,257083
1440704200,1,3299173280636,1213,1187924048681,3715
1440704201,1,3299173289540,8904,1187924072371,23690
1440704202,1,3299173739650,450110,1187924085286,12915
1440704203,1,3299194201334,20461684,1187924412282,326996
1440704204,1,3299194202298,964,1187924415620,3338
1440704205,1,3299194204184,1886,1187924431862,16242
1440704206,1,3299195001840,797656,1187924466487,34625
1440704207,1,3299215478255,20476415,1187924709635,243148
1440704208,1,3299215487295,9040,1187924811064,101429
1440704209,1,3299215521386,34091,1187924869177,58113
1440704210,1,3299231285414,15764028,1187925078767,209590
1440704211,1,3299231294197,8783,1187925169954,91187
1440704213,2,3299231301565,7368,1187925174733,4779
1440704214,1,3299232100852,799287,1187925199272,24539
1440704215,1,3299233442567,1341715,1187925277706,78434
1440704216,1,3299241254964,7812397,1187925350147,72441
1440704217,1,3299261432466,20177502,1187925560008,209861
1440704218,1,3299261436755,4289,1187925574436,14428
1440704219,1,3299261440031,3276,1187925582098,7662
1440704220,1,3299262057748,617717,1187925597160,15062
1440704221,1,3299282238583,20180835,1187925930990,333830
1440704222,1,3299282244509,5926,1187925936640,5650
1440704223,1,3299282248208,3699,1187925942916,6276
1440704224,1,3299283209378,961170,1187926048951,106035
1440704225,1,3299302175710,18966332,1187928732947,2683996
1440704226,1,3299302179262,3552,1187928755524,22577
1440704227,1,3299302217783,38521,1187928840527,85003
1440704228,1,3299303040814,823031,1187928856093,15566
1440704229,1,3299323434106,20393292,1187929211726,355633
1440704230,1,3299323439090,4984,1187929219737,8011
1440704231,1,3299323449703,10613,1187929241184,21447
1440704232,1,3299323961468,511765,1187929361250,120066
1440704233,1,3299344584581,20623113,1187929662587,301337
1440704234,1,3299344585553,972,1187929663447,860
1440704235,1,3299344586998,1445,1187929664355,908
1440704236,1,3299345410158,823160,1187929686618,22263
